,date,time,latitude,longitude,deepness,md,ml,mw,place
5,Tarih     ,Saat    ,Enlem(N),Boylam(,lik(,MD ,Mw ,ML ,Yer                                             Ç
6,----------,--------,--------,-------,----,---,-- ,---,--------------                                  -
163,2023.03.30,21:57:14,37.2610 ,37.0033,7.1 ,-.-,-.-,1.7,AKDEMIR-PAZARCIK (KAHRAMANMARAS)
164,2023.03.30,21:55:48,38.2465 ,38.6703,7.2 ,-.-,-.-,1.4,KOKPINAR-PUTURGE (MALATYA)
165,2023.03.30,21:55:20,39.3077 ,28.2410,8.5 ,-.-,-.-,2.3,YUSUFCAM-SINDIRGI (BALIKESIR)
166,2023.03.30,21:54:34,37.9188 ,36.3090,2.8 ,-.-,-.-,1.4,HACIKODAL-GOKSUN (KAHRAMANMARAS)
167,2023.03.30,21:43:31,38.1797 ,37.8745,5.3 ,-.-,-.-,1.4,POLAT-DOGANSEHIR (MALATYA)
168,2023.03.30,21:33:55,38.1058 ,38.1752,5.3 ,-.-,-.-,1.6,YALINKAYA-YESILYURT (MALATYA)
169,2023.03.30,21:23:03,37.8630 ,37.8068,5.2 ,-.-,-.-,2.5,CANKARA-GOLBASI (ADIYAMAN)
170,2023.03.30,21:20:38,38.4555 ,37.5152,1.7 ,-.-,-.-,1.8,YENICE-DARENDE (MALATYA)
171,2023.03.30,21:17:56,37.5427 ,37.2020,9.4 ,-.-,-.-,2.1,KUZUCAK-(KAHRAMANMARAS)
172,2023.03.30,21:10:18,38.1018 ,37.7813,5.2 ,-.-,-.-,2.6,FINDIKKOY-DOGANSEHIR (MALATYA)
173,2023.03.30,21:05:05,38.2090 ,37.2630,0.0 ,-.-,-.-,1.7,CICEKKOY-ELBISTAN (KAHRAMANMARAS)
174,2023.03.30,20:58:22,38.2840 ,38.1393,5.0 ,-.-,-.-,1.9,GORGU-YESILYURT (MALATYA)
175,2023.03.30,20:56:25,36.2508 ,36.0420,9.3 ,-.-,-.-,1.9,YAYLACIK-(HATAY)
176,2023.03.30,20:55:41,36.8905 ,35.9795,9.1 ,-.-,-.-,1.9,KURTPINAR-CEYHAN (ADANA)
177,2023.03.30,20:53:28,38.2642 ,38.2557,8.6 ,-.-,-.-,1.8,GUNDUZBEY-YESILYURT (MALATYA)
178,2023.03.30,20:50:22,38.3125 ,37.4968,5.0 ,-.-,-.-,2.2,YOGUNSOGUT-ELBISTAN (KAHRAMANMARAS)
179,2023.03.30,20:46:18,36.7188 ,36.0827,5.4 ,-.-,-.-,1.7,ISKENDERUN KORFEZI
180,2023.03.30,20:42:37,38.0708 ,37.2000,6.2 ,-.-,-.-,2.5,EKINOZU (KAHRAMANMARAS)
181,2023.03.30,20:39:46,38.1142 ,38.1730,3.9 ,-.-,-.-,1.9,YALINKAYA-YESILYURT (MALATYA)
182,2023.03.30,20:38:55,37.5267 ,37.1960,2.5 ,-.-,-.-,1.8,SOGUTLU-PAZARCIK (KAHRAMANMARAS)
183,2023.03.30,20:28:32,38.1355 ,38.4563,5.4 ,-.-,-.-,2.2,AKSU-SINCIK (ADIYAMAN)
